rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notEmpty(inventory_id);notNull(poly_id);notNull(src_filename);notNull(ogc_fid),"padConcat({inventory_id, src_filename, '', poly_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,DIST_TYPE_1,text,"notNull(l1trt);notEmpty(l1trt);matchList(l1trt,{'BB','CC','CL','CT','CV','FP','FT','FW','IT','PA','PB','PC','PL','PT','RC','RR','SA','SC','SH','SR','ST','TI','TP'})","mapText(l1trt, {'BB','CC','CL','CT','CV','FP','FT','FW','IT','PA','PB','PC','PL','PT','RC','RR','SA','SC','SH','SR','ST','TI','TP'}, {'BU','CO','SI','PC','PC','SI','OT','PC','PC','PC','BU','PC','SI','OT','PC','OT','PC','PC','PC','PC','PC','SI','PC'})",Maps source value to DIST_TYPE_1 using lists of values,TRUE
3,DIST_YEAR_1,integer,"notNull(l1trtyr);isInt(l1trtyr);isBetween(l1trtyr, 1, 2020)",copyInt(l1trtyr),Copies disturbance to DIST_YEAR_1,TRUE
4,DIST_EXT_UPPER_1,integer,false(),nothingInt(),Attribute does not occur,TRUE
5,DIST_EXT_LOWER_1,integer,false(),nothingInt(),Attribute does not occur,TRUE
6,DIST_TYPE_2,text,false(),nothingText(),Attribute does not occur,TRUE
7,DIST_YEAR_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
8,DIST_EXT_UPPER_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
9,DIST_EXT_LOWER_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
10,DIST_TYPE_3,text,false(),nothingText(),Attribute does not occur,TRUE
11,DIST_YEAR_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
12,DIST_EXT_UPPER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
13,DIST_EXT_LOWER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
14,LAYER,integer,true(),copyInt(layer),Assign disturbances to layer 1 unless inventory specifies otherwise. This allows all disturbance to be queried with layer 1 info. NB01 assigns treatment to layer 1 and layer 2 so we need to use the layer attribute assigned by createMappingView(),TRUE
