rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notEmpty(inventory_id);notNull(poly_id);notNull(src_filename);notNull(ogc_fid),"padConcat({inventory_id, src_filename, '', poly_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,false(),nothingText(),Needs custom helper function,TRUE
3,STRUCTURE_PER,integer,false(),nothingInt(),Needs custom helper function,TRUE
4,LAYER,integer,false(),nothingInt(),Needs custom helper function,TRUE
5,LAYER_RANK,integer,false(),nothingInt(),Needs custom helper function,TRUE
6,CROWN_CLOSURE_UPPER,integer,false(),nothingInt(),Needs custom helper function,TRUE
7,CROWN_CLOSURE_LOWER,integer,false(),nothingInt(),Needs custom helper function,TRUE
8,HEIGHT_UPPER,double precision,false(|-8886),nothingDouble(),Needs custom helper function,TRUE
9,HEIGHT_LOWER,double precision,false(|-8886),nothingDouble(),Needs custom helper function,TRUE
10,NAT_NON_VEG,text,false(),nothingText(),Needs custom helper function,TRUE
11,NON_FOR_ANTH,text,false(),nothingText(),Needs custom helper function,TRUE
12,NON_FOR_VEG,text,false(),nothingText(),Needs custom helper function,TRUE
