rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notEmpty(inventory_id);notNull(poly_no);notNull(src_filename);notNull(ogc_fid),"padConcat({inventory_id, src_filename, '', poly_no, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,false(),nothingText(),Attribute does not occur,TRUE
3,STRUCTURE_PER,integer,true(),copyInt(100),No horizontal structure so structure percent is 100,TRUE
4,LAYER,integer,true(),copyInt(1),Count layers up to max_layer_number which is set by the createMappingsView() function in the workflow. ,TRUE
5,LAYER_RANK,integer,false(|-8887),nothingInt(),Copies 1 to LAYER_ID,TRUE
6,CROWN_CLOSURE_UPPER,integer,false(),nothingInt(),Maps source value to CROWN_CLOSURE_UPPER using lists of values,TRUE
7,CROWN_CLOSURE_LOWER,integer,false(),nothingInt(),Maps source value to CROWN_CLOSURE_LOWER using lists of values,TRUE
8,HEIGHT_UPPER,double precision,false(),nothingDouble(),Copies source value to HEIGHT_UPPER,TRUE
9,HEIGHT_LOWER,double precision,false(),nothingDouble(),Copies source value to HEIGHT_LOWER,TRUE
10,NAT_NON_VEG,text,false(),nothingText(),Maps source value to NAT_NON_VEG using list of values,TRUE
11,NON_FOR_ANTH,text,false(),nothingText(),Maps source value to NON_FOR_ANTH using list of values,TRUE
12,NON_FOR_VEG,text,false(),nothingText(),Maps source value to NON_FOR_VEG using list of values. FLAG-map list matches fri list. Is this correct?,TRUE
