targetAttribute,targetAttributeType,validationRules,translationRules,description,descUpToDateWithRules
CAS_ID,text,"notNull(src_filename,trm_1,poly_num,ogc_fid|'NULL')","casId('ab06', src_filename, trm_1, poly_num, ogc_fid)",Concatenates five attributes to create CAS_ID,TRUE
CROWN_CLOSURE_UPPER,integer,"notNull(density|'NULL');match(density,'A,B,C,D'|'ERROR')","map(density, 'A,B,C,D', '6,31,51,71')",Maps source value to CROWN_CLOSURE_UPPER using lists of values,TRUE
CROWN_CLOSURE_LOWER,integer,"notNull(density|'NULL');match(density,'A,B,C,D'|'ERROR')","map(density, 'A,B,C,D', '30,50,70,100')",Maps source value to CROWN_CLOSURE_LOWER using lists of values,TRUE
HEIGHT_UPPER,integer,"notNull(height|-8888);greaterThan(height,1|-9999);lesserThan(height,100|-9999)",copy(height),Copies source value to HEIGHT_UPPER,TRUE
HEIGHT_LOWER,integer,"notNull(height|-8888);greaterThan(height,1|-9999);lesserThan(height,100|-9999)",copy(height),Copies source value to HEIGHT_LOWER,TRUE
SPECIES_1,text,"notNull(sp1|'NULL');match(sp1,translation,ab_av01_species|'XXXX ERRC')","lookup(sp1, translation, ab_avi01_species, spec1)",Maps source value to SPECIES_1 using lookup table,TRUE
SPECIES_PER_1,integer,"notNull(sp1_per|-8888);between(sp1_per,0,100|-9999)",copy(sp1_per),Copies source value to SPECIES_PER_1,TRUE
SPECIES_2,text,"notNull(sp2|'NULL');match(sp2,translation,ab_avi01_species|'XXXX ERRC')","lookup(sp1, translation, ab_avi01_species, spec2)",Maps source value to SPECIES_2 using lookup table,TRUE
SPECIES_PER_2,integer,"notNull(sp2_per|-8888);between(sp2_per,0,100|-9999)",copy(sp2_per),Copies source value to SPECIES_PER_2,TRUE
SPECIES_3,text,"notNull(sp3|'NULL');match(sp3,translation,ab_avi01_species|'XXXX ERRC')","lookup(sp1, translation, ab_avi01_species, spec3)",Maps source value to SPECIES_3 using lookup table,TRUE
SPECIES_PER_3,integer,"notNull(sp3_per|-8888);between(sp3_per,0,100|-9999)",copy(sp3_per),Copies source value to SPECIES_PER_3,TRUE
SPECIES_4,text,"notNull(sp4|'NULL');match(sp4,translation,ab_avi01_species|'XXXX ERRC')","lookup(sp1, translation, ab_avi01_species, spec4)",Maps source value to SPECIES_4 using lookup table,TRUE
SPECIES_PER_4,integer,"notNull(sp4_per|-8888);between(sp4_per,0,100|-9999)",copy(sp4_per),Copies source value to SPECIES_PER_4,TRUE
SPECIES_5,text,"notNull(sp5|'NULL');match(sp5,translation,ab_avi01_species|'XXXX ERRC')","lookup(sp1, translation, ab_avi01_species, spec5)",Maps source value to SPECIES_5 using lookup table,TRUE
SPECIES_PER_5,integer,"notNull(sp5_per|-8888);between(sp5_per,0,100|-9999)",copy(sp5_per),Copies source value to SPECIES_PER_5,TRUE
SPECIES_6,text,false(|na),nothing(),attribute does not occur,TRUE
SPECIES_PER_6,integer,false(|na),nothing(),attribute does not occur,TRUE
SPECIES_7,text,false(|na),nothing(),attribute does not occur,TRUE
SPECIES_PER_7,integer,false(|na),nothing(),attribute does not occur,TRUE
SPECIES_8,text,false(|na),nothing(),attribute does not occur,TRUE
SPECIES_PER_8,integer,false(|na),nothing(),attribute does not occur,TRUE
SPECIES_9,text,false(|na),nothing(),attribute does not occur,TRUE
SPECIES_PER_9,integer,false(|na),nothing(),attribute does not occur,TRUE
SPECIES_10,text,false(|na),nothing(),attribute does not occur,TRUE
SPECIES_PER_10,integer,false(|na),nothing(),attribute does not occur,TRUE
