rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,notNull(dist_type_1),NA,Translate only rows where line_7b_disturbance_history is not NULL, TRUE
1,CAS_ID,text,notEmpty(inventory_id);notNull(src_filename);notNull(map_sheet_id);notNull(orig_stand_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,DIST_TYPE_1,text,"notNull(dist_type_1);notEmpty(dist_type_1);hasLength(dist_type_1, 3);matchListSubstring(dist_type_1, 1, 1, {'M','P','L','B','W','D','K','S','F','I','R','G','Y','A','C','T','U','V','N'})","mapSubstringText(dist_type_1, 1, 1, {'M','P','L','B','W','D','K','S','F','I','R','G','Y','A','C','T','U','V','N'}, {'IK','DI','CO','BU','WF','DI','OT','SL','FL','IK','SI','WE','WE','OT','OT','OT','OT','OT','OT'})","Gets disturbance type from source string using substring of the first character, then maps value to DIST_TYPE_1 using lists of values",TRUE
3,DIST_YEAR_1,integer,"notNull(dist_type_1);hasLength(dist_type_1, 3);isIntSubstring(dist_type_1, 2, 2);isBetweenSubstring(dist_type_1, 2, 2, 0, 99)","vri01_dist_yr_translation(dist_type_1, dummy_dist_cutoff)","Takes substring of second and third characters from source attribute, checks they are null, integers and between 0-99, then translates the substring to a year by concatenating with 19 or 20 depending on the cutoff. Cutoff for BC08 is 17, for BC10 is 18. e.g. L20 would become 1920 and L02 would become 2002.",TRUE
4,DIST_EXT_UPPER_1,integer,false(),nothingInt(),Attribute does not occur,TRUE
5,DIST_EXT_LOWER_1,integer,false(),nothingInt(),Attribute does not occur,TRUE
6,DIST_TYPE_2,text,false(),nothingText(),Attribute does not occur,TRUE
7,DIST_YEAR_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
8,DIST_EXT_UPPER_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
9,DIST_EXT_LOWER_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
10,DIST_TYPE_3,text,false(),nothingText(),Attribute does not occur,TRUE
11,DIST_YEAR_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
12,DIST_EXT_UPPER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
13,DIST_EXT_LOWER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
14,LAYER,integer,true(),nothingInt(|-8886),Disturbance layer is unknown,TRUE
