rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"matchList(nnf_anth,{'NMB','NMC','NMF','NMR','NMS','NMM','NMG','NWL','NWR','NWF','CIP','CIW','CIU','ASC','ASR','ASP','ASN','AIH','AIR','AIG','AII','AIW','AIA','AIF','AIU','SO','AL','SC','CC','HG','CS','HF','AS','HU','VI','BR','RA','CL','DL','AU'})",NA,Translate only rows where landtype has an nfl value, TRUE
1,CAS_ID,text,notEmpty(inventory_id);notNull(map_sheet_id);notNull(orig_stand_id);notNull(src_filename);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,VRAI
2,SOIL_MOIST_REG,text,false(|UNKNOWN_VALUE),nothingText(),Attribute does not occur,VRAI
3,STRUCTURE_PER,integer,true(),copyInt(100),No horizontal structure so structure percent is 100,VRAI
4,LAYER,integer,false(),nothingInt(),Counts number of layers based on the presence of a not null value for attributes representing each layer. Custom function decides if NFL layer is present based on rules in NFL table.,VRAI
5,LAYER_RANK,integer,false(|-8887),nothingInt(),Attribute does not occur,VRAI
6,CROWN_CLOSURE_UPPER,integer,false(),nothingInt(),Attribute does not occur,VRAI
7,CROWN_CLOSURE_LOWER,integer,false(),nothingInt(),Attribute does not occur,VRAI
8,HEIGHT_UPPER,double precision,false(),nothingDouble(),Attribute does not occur,VRAI
9,HEIGHT_LOWER,double precision,false(),nothingDouble(),Attribute does not occur,VRAI
10,NAT_NON_VEG,text,"notNull(nnf_anth);matchList(nnf_anth,{'NMB','NMC','NMF','NMR','NMS','NMM','NMG','NWL','NWR','NWF'}|NOT_APPLICABLE)","mapText(nnf_anth, {'NMB','NMC','NMF','NMR','NMS','NMM','NMG','NWL','NWR','NWF'}, {'EXPOSED_LAND','EXPOSED_LAND','ROCK_RUBBLE','ROCK_RUBBLE','SAND','EXPOSED_LAND','WATER_SEDIMENT','LAKE','RIVER','FLOOD'})",Maps source value to NAT_NON_VEG using list of values.,VRAI
11,NON_FOR_ANTH,text,"notNull(nnf_anth);matchList(nnf_anth,{'CIP','CIW','CIU','ASC','ASR','ASP','ASN','AIH','AIR','AIG','AII','AIW','AIA','AIF','AIU'}|NOT_APPLICABLE)","mapText(nnf_anth, {'CIP','CIW','CIU','ASC','ASR','ASP','ASN','AIH','AIR','AIG','AII','AIW','AIA','AIF','AIU'}, {'FACILITY_INFRASTRUCTURE','FACILITY_INFRASTRUCTURE','OTHER','SETTLEMENT','SETTLEMENT','FACILITY_INFRASTRUCTURE','FACILITY_INFRASTRUCTURE','FACILITY_INFRASTRUCTURE','FACILITY_INFRASTRUCTURE','INDUSTRIAL','INDUSTRIAL','LAGOON','FACILITY_INFRASTRUCTURE','SETTLEMENT','OTHER'})",Maps source value to NON_FOR_ANTH using list of values.,VRAI
12,NON_FOR_VEG,text,"notNull(nnf_anth);matchList(nnf_anth,{'SO','AL','SC','CC','HG','CS','HF','AS','HU','VI','BR','RA','CL','DL','AU'}|NOT_APPLICABLE)","mapText(nnf_anth,{'SO','AL','SC','CC','HG','CS','HF','AS','HU','VI','BR','RA','CL','DL','AU'}, {'OPEN_SHRUB','TALL_SHRUB','TALL_SHRUB','TALL_SHRUB','GRAMINOIDS','TALL_SHRUB','FORBS','TALL_SHRUB','FORBS','TALL_SHRUB','BRYOD','LOW_SHRUB','BRYOD','LOW_SHRUB','LOW_SHRUB'})",Maps source value to NON_FOR_VEG using list of values.,VRAI
