rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notEmpty(inventory_id);notNull(poly_id);notNull(src_filename);notNull(ogc_fid),"padConcat({inventory_id, src_filename, '', poly_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,false(),nothingText(),Attribute does not occur,TRUE
3,STRUCTURE_PER,integer,true(),copyInt(100),No horizontal structure so structure percent is 100,TRUE
4,LAYER,integer,true(),"countOfNotNull({dummy_l1s1, dummy_l1s2, dummy_l1s3, dummy_l1s4, dummy_l1s5}, {dummy_l2s1, dummy_l2s2, dummy_l2s3, dummy_l2s4, dummy_l2s5}, {slu, water_code, wc}, max_layer_number, 'FALSE')","Count layers up to max_layer_number which is set by the createMappingsView() function in the workflow. Third grouping represents nfl rows using slu (from FOREST table), water_code (from WATERBODY table), and wc (from WETLAND table). slu and water_code rows will be translated using the NFL table. wc rows will be translated using the ECO table. Dummy names used where values need to be mapped to two different attributes.",TRUE
5,LAYER_RANK,integer,false(),nothingInt(),Attribute does not occur,TRUE
6,CROWN_CLOSURE_UPPER,integer,"notNull(l1cc);isNumeric(l1cc);matchList(l1cc,{1,2,3,4,5})","mapInt(l1cc, {1,2,3,4,5}, {30,50,70,90,100})",Maps source value to CROWN_CLOSURE_UPPER using lists of values,TRUE
7,CROWN_CLOSURE_LOWER,integer,"notNull(l1cc);isNumeric(l1cc);matchList(l1cc,{1,2,3,4,5})","mapInt(l1cc, {1,2,3,4,5}, {10,31,51,71,91})",Maps source value to CROWN_CLOSURE_LOWER using lists of values,TRUE
8,HEIGHT_UPPER,double precision,"notNull(l1ht);isNumeric(l1ht);isBetween(l1ht,'0.1',100)",copyDouble(l1ht),Copies source value to HEIGHT_UPPER,TRUE
9,HEIGHT_LOWER,double precision,"notNull(l1ht);isNumeric(l1ht);isBetween(l1ht,'0.1',100)",copyDouble(l1ht),Copies source value to HEIGHT_LOWER,TRUE
10,PRODUCTIVE_FOR,text,false(),nothingText(),Correct translation has not been determined.,TRUE
11,SPECIES_1,text,"notNull(l1s1);notEmpty(l1s1);matchTable(l1s1, 'translation', 'nb_nbi01_species' )","lookupText(l1s1, 'translation', 'nb_nbi01_species', 'spec1', 'TRUE')",Maps source value to SPECIES_1 using lookup table,TRUE
12,SPECIES_PER_1,integer,"notNull(l1pr1);matchList(l1pr1, {1,2,3,4,5,6,7,8,9,10})","mapInt(l1pr1, {1,2,3,4,5,6,7,8,9,10}, {10,20,30,40,50,60,70,80,90,100})",Maps source value to SPECIES_PER_1 by multiplying by 10,TRUE
13,SPECIES_2,text,"notNull(l1s2);notEmpty(l1s2);matchTable(l1s2, 'translation', 'nb_nbi01_species')","lookupText(l1s2, 'translation', 'nb_nbi01_species', 'spec2', 'TRUE')",Maps source value to SPECIES_2 using lookup table,TRUE
14,SPECIES_PER_2,integer,"notNull(l1pr2);matchList(l1pr2, {1,2,3,4,5,6,7,8,9,10})","mapInt(l1pr2, {1,2,3,4,5,6,7,8,9,10}, {10,20,30,40,50,60,70,80,90,100})",Maps source value to SPECIES_PER_2 by multiplying by 10,TRUE
15,SPECIES_3,text,"notNull(l1s3);notEmpty(l1s3);matchTable(l1s3, 'translation', 'nb_nbi01_species')","lookupText(l1s3, 'translation', 'nb_nbi01_species', 'spec3', 'TRUE')",Maps source value to SPECIES_3 using lookup table,TRUE
16,SPECIES_PER_3,integer,"notNull(l1pr3);matchList(l1pr3, {1,2,3,4,5,6,7,8,9,10})","mapInt(l1pr3, {1,2,3,4,5,6,7,8,9,10}, {10,20,30,40,50,60,70,80,90,100})",Maps source value to SPECIES_PER_3 by multiplying by 10,TRUE
17,SPECIES_4,text,"notNull(l1s4);notEmpty(l1s4);matchTable(l1s4, 'translation', 'nb_nbi01_species')","lookupText(l1s4, 'translation', 'nb_nbi01_species', 'spec4', 'TRUE')",Maps source value to SPECIES_4 using lookup table,TRUE
18,SPECIES_PER_4,integer,"notNull(l1pr4);matchList(l1pr4, {1,2,3,4,5,6,7,8,9,10})","mapInt(l1pr4, {1,2,3,4,5,6,7,8,9,10}, {10,20,30,40,50,60,70,80,90,100})",Maps source value to SPECIES_PER_4 by multiplying by 10,TRUE
19,SPECIES_5,text,"notNull(l1s5);notEmpty(l1s5);matchTable(l1s5, 'translation', 'nb_nbi01_species')","lookupText(l1s5, 'translation', 'nb_nbi01_species', 'spec5', 'TRUE')",Maps source value to SPECIES_5 using lookup table,TRUE
20,SPECIES_PER_5,integer,"notNull(l1pr5);matchList(l1pr5, {1,2,3,4,5,6,7,8,9,10})","mapInt(l1pr5, {1,2,3,4,5,6,7,8,9,10}, {10,20,30,40,50,60,70,80,90,100})",Maps source value to SPECIES_PER_5 by multiplying by 10,TRUE
21,SPECIES_6,text,false(),nothingText(),Attribute does not occur,TRUE
22,SPECIES_PER_6,integer,false(),nothingInt(),Attribute does not occur,TRUE
23,SPECIES_7,text,false(),nothingText(),Attribute does not occur,TRUE
24,SPECIES_PER_7,integer,false(),nothingInt(),Attribute does not occur,TRUE
25,SPECIES_8,text,false(),nothingText(),Attribute does not occur,TRUE
26,SPECIES_PER_8,integer,false(),nothingInt(),Attribute does not occur,TRUE
27,SPECIES_9,text,false(),nothingText(),Attribute does not occur,TRUE
28,SPECIES_PER_9,integer,false(),nothingInt(),Attribute does not occur,TRUE
29,SPECIES_10,text,false(),nothingText(),Attribute does not occur,TRUE
30,SPECIES_PER_10,integer,false(),nothingInt(),Attribute does not occur,TRUE
31,ORIGIN_UPPER,integer,"notNull(l1estyr);isInt(l1estyr);isBetween(l1estyr, 0, 2020)",copyInt(l1estyr),Copies (l1estyr) to ORIGIN_UPPER,TRUE
32,ORIGIN_LOWER,integer,"notNull(l1estyr);isInt(l1estyr);isBetween(l1estyr, 0, 2020)",copyInt(l1estyr),Copies (l1estyr) to ORIGIN_LOWER,TRUE
33,SITE_CLASS,text,false(),nothingText(),Attribute does not occur,TRUE
34,SITE_INDEX,double precision,false(),nothingDouble(),Attribute does not occur,TRUE
